"ec_clean_tenant_id"|"ec_lotting_attribute_name"|"ec_lotting_attribute_value"|"ec_lotting_attribute_priority"|"itm_nbr_sus_itm"|"material_number_sap_dim_mtrl"|"usf_product_number_usf_integrated_product_master "
0nwwee6|Storage Type|NOT APPLICABLE|05|6756308|6756308|
0nwwee6|Packaging|CARTON|06|6756308|6756308|
0nwwee6|Growing Area|WESTERN|07|6756308|6756308|
0nwwee6|Growing Practices|CONVENTIONAL|08|6756308|6756308|
0nwwee6|Product Style|WHOLE FRESH|09|6756308|6756308|
0nwwee6|Processing|NOT IDENTIFIED|10|6756308|6756308|
0nwwee6|Skin State|SKIN-ON|11|6756308|6756308|
0nwwee6|Core State|WITH CORE|12|6756308|6756308|
0rLGf94|Primary Variety|ASIAN|01|2162917||
0rLGf94|Sub Variety / Color|NOT IDENTIFIED|02|2162917||
0rLGf94|Product SZ Size/Count/Ripeness Designation|20 CT|03|2162917||
0rLGf94|Grade|US #1 FANCY|04|2162917||
0rLGf94|Storage Type|NOT APPLICABLE|05|2162917||
0rLGf94|Packaging|CARTON|06|2162917||
0rLGf94|Growing Area|NOT IDENTIFIED|07|2162917||
0rLGf94|Growing Practices|CONVENTIONAL|08|2162917||
0rLGf94|Product Style|WHOLE FRESH|09|2162917||
0rLGf94|Processing|NOT IDENTIFIED|10|2162917||
0rLGf94|Skin State|SKIN-ON|11|2162917||
0rLGf94|Core State|WITH CORE|12|2162917||
0tTuM22|Primary Variety|NOT IDENTIFIED|01|6486013||
0tTuM22|Sub Variety / Color|NOT IDENTIFIED|02|6486013||
0tTuM22|Product SZ Size/Count/Ripeness Designation|135 CT|03|6486013||
0tTuM22|Grade|US #1 FANCY|04|6486013||
0tTuM22|Storage Type|NOT APPLICABLE|05|6486013||
0tTuM22|Packaging|CARTON|06|6486013||
0tTuM22|Growing Area|WESTERN|07|6486013||
0tTuM22|Growing Practices|CONVENTIONAL|08|6486013||
0tTuM22|Product Style|WHOLE FRESH|09|6486013||
0tTuM22|Processing|NOT IDENTIFIED|10|6486013||
0tTuM22|Skin State|SKIN-ON|11|6486013||
0tTuM22|Core State|WITH CORE|12|6486013||
0d5T89r|Primary Variety|ANJOU|01|5445758||
0d5T89r|Sub Variety / Color|NOT IDENTIFIED|02|5445758||
0d5T89r|Product SZ Size/Count/Ripeness Designation|60 CT|03|5445758||
0d5T89r|Grade|US #1 FANCY|04|5445758||
0d5T89r|Storage Type|NOT APPLICABLE|05|5445758||
0d5T89r|Packaging|CARTON|06|5445758||
0d5T89r|Growing Area|WESTERN|07|5445758||
0d5T89r|Growing Practices|CONVENTIONAL|08|5445758||
0d5T89r|Product Style|WHOLE FRESH|09|5445758||
0d5T89r|Processing|NOT IDENTIFIED|10|5445758||
0d5T89r|Skin State|SKIN-ON|11|5445758||
0d5T89r|Core State|WITH CORE|12|5445758||
0vArKac|Primary Variety|BARTLETT|01|0074090||
0vArKac|Sub Variety / Color|NOT IDENTIFIED|02|0074090||
0vArKac|Product SZ Size/Count/Ripeness Designation|150 CT|03|0074090||
0vArKac|Grade|US #1 X-FANCY|04|0074090||
0vArKac|Storage Type|NOT APPLICABLE|05|0074090||
0vArKac|Packaging|CARTON|06|0074090||
0vArKac|Growing Area|WESTERN|07|0074090||
0vArKac|Growing Practices|CONVENTIONAL|08|0074090||
0vArKac|Product Style|WHOLE FRESH|09|0074090||
0vArKac|Processing|NOT IDENTIFIED|10|0074090||
0vArKac|Skin State|SKIN-ON|11|0074090||
0vArKac|Core State|WITH CORE|12|0074090||
0xJ7r6c|Primary Variety|ANJOU|01|4630349||
0xJ7r6c|Sub Variety / Color|NOT IDENTIFIED|02|4630349||
0xJ7r6c|Product SZ Size/Count/Ripeness Designation|70 CT|03|4630349||
0xJ7r6c|Grade|US #1 FANCY|04|4630349||
0xJ7r6c|Storage Type|NOT APPLICABLE|05|4630349||
0xJ7r6c|Packaging|CARTON|06|4630349||
0xJ7r6c|Growing Area|WESTERN|07|4630349||
0xJ7r6c|Growing Practices|CONVENTIONAL|08|4630349||
0xJ7r6c|Product Style|WHOLE FRESH|09|4630349||
0xJ7r6c|Processing|NOT IDENTIFIED|10|4630349||
0xJ7r6c|Skin State|SKIN-ON|11|4630349||
